Symbol,Name,Country,IPO Year,Volume,Sector,Industry
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,198091,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,1553753,Consumer Staples,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,United States,,259435,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,Switzerland,2016,402960,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,United States,,431647,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,468704,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,325253,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,AECOM Common Stock,United States,2007,1089207,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,1143338,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,3530301,Technology,EDP Services
ACNB,ACNB Corporation Common Stock,United States,,11543,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,United States,,5073,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,United States,2022,726978,Health Care,Medical Specialities
ACONW,Aclarion Inc. Warrant,United States,2022,37350,Health Care,Medical Specialities
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,2011,325124,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States,,6,,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,,20155,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,2959,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States,,13910,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,697114,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,1136926,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,United States,2022,221800,Health Care,Biotechnology: Pharmaceutical Preparations
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,,17103,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,2021,169724,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,196094,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,United States,1988,81157,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,156668,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,867810,Consumer Discretionary,Business Services
