Symbol,Name,Country,IPO Year,Volume,Sector,Industry
AXTI,AXT Inc Common Stock,United States,1998,835609,Technology,Semiconductors
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,United Kingdom,2014,20413831,Utilities,Electric Utilities: Central
AYI,Acuity Brands Inc. ,United States,,406469,Consumer Discretionary,Building Products
AYRO,AYRO Inc. Common Stock,United States,,15389,Consumer Discretionary,Telecommunications Equipment
AYTU,Aytu BioPharma Inc.  Common Stock,United States,,56666,Health Care,Biotechnology: Pharmaceutical Preparations
AZ,A2Z Smart Technologies Corp. Common Shares,Canada,,380381,Industrials,Industrial Machinery/Components
AZEK,The AZEK Company Inc. Class A Common Stock,United States,2020,1501264,Industrials,Plastic Products
AZN,AstraZeneca PLC American Depositary Shares,United Kingdom,,4199264,Health Care,Biotechnology: Pharmaceutical Preparations
AZO,AutoZone Inc. Common Stock,United States,,125474,Consumer Discretionary,Auto & Home Supply Stores
AZPN,Aspen Technology Inc. Common Stock,United States,,147821,Technology,EDP Services
AZTA,Azenta Inc.,United States,,444695,Technology,Industrial Machinery/Components
AZTR,Azitra Inc Common Stock,,2023,692398,Health Care,Biotechnology: Pharmaceutical Preparations
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Brazil,2017,2946005,Consumer Discretionary,Air Freight/Delivery Services
AZZ,AZZ Inc.,United States,,363410,Industrials,Industrial Specialties
B,Barnes Group Inc. Common Stock,United States,,384294,Industrials,Metal Fabrications
BA,Boeing Company (The) Common Stock,United States,,5274390,Industrials,Aerospace
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,2014,15211752,Consumer Discretionary,Business Services
BAC,Bank of America Corporation Common Stock,United States,,31217890,Finance,Major Banks
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,United States,,44142,,
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,United States,,11596,,
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,United States,,58535,,
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,United States,,3026,,
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,United States,,60471,,
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,United States,,107058,,
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,United States,,53312,,
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,United States,,47970,,
BAC^Q,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ,United States,,49926,,
BAC^S,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS,United States,,20326,,
BACA,Berenson Acquisition Corp. I Class A Common Stock,,2021,63,Finance,Blank Checks
BACK,IMAC Holdings Inc. Common Stock,United States,2019,34217,Health Care,Medical Specialities
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,United States,,21267,Consumer Discretionary,Business Services
BAERW,Bridger Aerospace Group Holdings Inc. Warrant,United States,,5,Consumer Discretionary,Business Services
BAFN,BayFirst Financial Corp. Common Stock,United States,,11075,Finance,Major Banks
BAH,Booz Allen Hamilton Holding Corporation Common Stock,United States,2010,885801,Consumer Discretionary,Professional Services
BAK,Braskem SA ADR,Brazil,,483648,Industrials,Major Chemicals
BALL,Ball Corporation Common Stock,United States,,1877600,Industrials,Containers/Packaging
BALY,Bally's Corporation Common Stock,United States,2019,303701,Consumer Discretionary,Hotels/Resorts
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,,2022,734453,Real Estate,Building operators
BANC,Banc of California Inc. Common Stock,United States,,1304240,Finance,Major Banks
BANC^F,Banc of California Inc. Depositary Shares each representing a 1/40th interest in a share of 7.75% non-cumulative perpetual preferred stock Series F,United States,,71024,,
BAND,Bandwidth Inc. Class A Common Stock,United States,2017,213893,Technology,Computer Software: Prepackaged Software
BANF,BancFirst Corporation Common Stock,United States,1993,63279,Finance,Major Banks
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,United States,,5978,Finance,Major Banks
BANL,CBL International Limited Ordinary Shares,Malaysia,2023,11541,Energy,Oil Refining/Marketing
BANR,Banner Corporation Common Stock,United States,,214369,Finance,Major Banks
BANX,ArrowMark Financial Corp. Common Stock,United States,,16904,Finance,Trusts Except Educational Religious and Charitable
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,China,2021,1976,Consumer Discretionary,Business Services
BAP,Credicorp Ltd. Common Stock,Peru,,152753,Finance,Commercial Banks
BARK,BARK Inc. Class A Common Stock,United States,2020,819537,Consumer Discretionary,Other Specialty Stores
BASE,Couchbase Inc. Common Stock,United States,2021,297822,Technology,Computer Software: Prepackaged Software
BATL,Battalion Oil Corporation Common Stock,United States,,5555,Energy,Oil & Gas Production
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,United States,,33083,Consumer Discretionary,Services-Misc. Amusement & Recreation
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,United States,,372496,Consumer Discretionary,Services-Misc. Amusement & Recreation
BAX,Baxter International Inc. Common Stock,United States,,3571396,Health Care,Medical/Dental Instruments
BAYA,Bayview Acquisition Corp Ordinary Shares,United States,2023,248,,
BAYAR,Bayview Acquisition Corp Right,United States,2023,1,,
BB,BlackBerry Limited Common Stock,Canada,,8518302,Technology,Computer Software: Prepackaged Software
BBAI,BigBear.ai Inc. Common Stock,United States,2021,2234142,Technology,Computer Software: Prepackaged Software
BBAR,Banco BBVA Argentina S.A. ADS,Argentina,,1067469,Finance,Commercial Banks
BBCP,Concrete Pumping Holdings Inc. Common Stock,United States,2017,95491,Consumer Discretionary,Engineering & Construction
BBD,Banco Bradesco Sa American Depositary Shares,Brazil,,12013320,Finance,Major Banks
BBDC,Barings BDC Inc. Common Stock,United States,,434295,Finance,Diversified Financial Services
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Brazil,,35849,Finance,Major Banks
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,United States,2000,30239,Consumer Discretionary,Broadcasting
BBIO,BridgeBio Pharma Inc. Common Stock,United States,2019,1995909,Health Care,Biotechnology: Pharmaceutical Preparations
BBLG,Bone Biologics Corp Common Stock,United States,,64436,Health Care,Industrial Specialties
BBLGW,Bone Biologics Corp Warrants,United States,,225,Health Care,Industrial Specialties
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,United States,2010,235003,Finance,Finance Companies
BBSI,Barrett Business Services Inc. Common Stock,United States,1993,36403,Consumer Discretionary,Professional Services
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,,2016,4770,Consumer Discretionary,Engineering & Construction
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,,2022,40746,Consumer Discretionary,Engineering & Construction
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Spain,,873096,Finance,Commercial Banks
BBW,Build-A-Bear Workshop Inc. Common Stock,United States,2004,359502,Consumer Discretionary,Recreational Games/Products/Toys
BBWI,Bath & Body Works Inc.,United States,,1533225,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BBY,Best Buy Co. Inc. Common Stock,United States,,3371285,Consumer Discretionary,Consumer Electronics/Video Chains
BC,Brunswick Corporation Common Stock,United States,,472829,Industrials,Industrial Machinery/Components
BC^A,Brunswick Corporation 6.500% Senior Notes due 2048,United States,,7991,,
BC^B,Brunswick Corporation 6.625% Senior Notes due 2049,United States,,20003,,
BC^C,Brunswick Corporation 6.375% Notes due 2049,United States,,5122,,
BCAB,BioAtla Inc. Common Stock,United States,2020,929055,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCAL,Southern California Bancorp Common Stock,United States,,92269,Finance,Major Banks
BCAN,BYND Cannasoft Enterprises Inc. Common Stock,Canada,,953256,,
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,United States,2020,1148667,Finance,Finance/Investors Services
BCBP,BCB Bancorp Inc. (NJ) Common Stock,United States,2005,24773,Finance,Savings Institutions
BCC,Boise Cascade L.L.C. Common Stock,United States,2013,336424,Consumer Discretionary,RETAIL: Building Materials
BCDA,BioCardia Inc. Common Stock,United States,,246684,Health Care,Biotechnology: Pharmaceutical Preparations
BCDAW,BioCardia Inc. Warrant,United States,,31676,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCE,BCE Inc. Common Stock,Canada,,1773103,Telecommunications,Telecommunications Equipment
BCG,Binah Capital Group Inc. Common Stock,United States,,105616,Finance,Finance: Consumer Services
BCGWW,Binah Capital Group Inc. Warrants,United States,,27620,Finance,Finance: Consumer Services
BCH,Banco De Chile ADS,Chile,,139669,Finance,Commercial Banks
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,United States,,229009,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCML,BayCom Corp Common Stock,United States,2018,18646,Finance,Major Banks
BCO,Brinks Company (The) Common Stock,United States,,231922,Consumer Discretionary,Oil Refining/Marketing
BCOV,Brightcove Inc. Common Stock,United States,2012,391947,Technology,EDP Services
BCOW,1895 Bancorp of Wisconsin Inc. (MD) Common Stock,United States,2019,302,Finance,Banks
BCPC,Balchem Corporation Common Stock,United States,,80241,Industrials,Major Chemicals
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,United States,1994,3690555,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCS,Barclays PLC Common Stock,United Kingdom,,10424012,Finance,Commercial Banks
BCSA,Blockchain Coinvestors Acquisition Corp. I Class A Ordinary Shares,Cayman Islands,2021,5999,Finance,Blank Checks
BCSAU,Blockchain Coinvestors Acquisition Corp. I Unit,Cayman Islands,2021,204,Finance,Blank Checks
BCSAW,Blockchain Coinvestors Acquisition Corp. I Warrant,Cayman Islands,2021,4879,Finance,Blank Checks
BCSF,Bain Capital Specialty Finance Inc. Common Stock,United States,2018,263508,Finance,Finance/Investors Services
BCTX,BriaCell Therapeutics Corp. Common Shares,Canada,,205564,Health Care,Biotechnology: Pharmaceutical Preparations
BCTXW,BriaCell Therapeutics Corp. Warrant,Canada,,2040,Health Care,Biotechnology: Pharmaceutical Preparations
BCV,Bancroft Fund Ltd.,United States,1972,21171,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,United States,,818,,
BCX,BlackRock Resources Common Shares of Beneficial Interest,United States,2011,153798,Finance,Finance/Investors Services
BCYC,Bicycle Therapeutics plc American Depositary Shares,United Kingdom,2019,387512,Health Care,Biotechnology: Pharmaceutical Preparations
BDC,Belden Inc Common Stock,United States,,199125,Telecommunications,Telecommunications Equipment
BDJ,Blackrock Enhanced Equity Dividend Trust,United States,2005,476850,Finance,Finance Companies
BDL,Flanigan's Enterprises Inc. Common Stock,United States,1972,177,Consumer Discretionary,Restaurants
BDN,Brandywine Realty Trust Common Stock,United States,,1267928,Real Estate,Real Estate Investment Trusts
BDRX,Biodexa Pharmaceuticals plc American Depositary Shs,United Kingdom,,518235,Health Care,Biotechnology: Pharmaceutical Preparations
BDSX,Biodesix Inc. Common Stock,United States,2020,77040,Health Care,Medical Specialities
BDTX,Black Diamond Therapeutics Inc. Common Stock,United States,2020,692985,Health Care,Biotechnology: Pharmaceutical Preparations
BDX,Becton Dickinson and Company Common Stock,United States,,1452801,Health Care,Medical/Dental Instruments
BE,Bloom Energy Corporation Class A Common Stock,United States,2018,15781282,Energy,Industrial Machinery/Components
BEAM,Beam Therapeutics Inc. Common Stock,United States,2020,755403,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BEAT,Heartbeam Inc. Common Stock,United States,2021,363892,Health Care,Medical/Dental Instruments
BEATW,Heartbeam Inc. Warrant,United States,2021,77080,Health Care,Medical/Dental Instruments
BECN,Beacon Roofing Supply Inc. Common Stock,United States,2004,473461,Consumer Discretionary,RETAIL: Building Materials
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing four Class A Ordinary Share,China,2017,2612,Real Estate,Other Consumer Services
BEEM,Beam Global Common Stock,United States,,145345,Technology,Semiconductors
BEEP,Mobile Infrastructure Corporation Common Stock,,2023,56421,Finance,Blank Checks
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),China,2020,14144593,Finance,Real Estate
BELFA,Bel Fuse Inc. Class A Common Stock,United States,,10449,,
BELFB,Bel Fuse Inc. Class B Common Stock,United States,,75919,,
BEN,Franklin Resources Inc. Common Stock,United States,,2668840,Finance,Investment Managers
BENF,Beneficient Class A Common Stock,United States,,80675,Finance,Finance: Consumer Services
BENFW,Beneficient Warrant,United States,,43799,Finance,Finance: Consumer Services
BEP,Brookfield Renewable Partners L.P. ,Canada,,505013,Utilities,Electric Utilities: Central
BEP^A,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17,Canada,,11624,,
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,United States,2020,757369,Utilities,Electric Utilities: Central
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,Canada,,15143,Utilities,Electric Utilities: Central
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,Canada,2021,25068,Utilities,Electric Utilities: Central
BEPJ,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,Canada,2024,28707,Utilities,Electric Utilities: Central
BERY,Berry Global Group Inc. Common Stock,United States,2012,767211,Industrials,Plastic Products
BEST,BEST Inc. American Depositary Shares each representing twenty (20) Class A Ordinary Shares,Cayman Islands,2023,23774,,
BETR,Better Home & Finance Holding Company Class A Common Stock,United Kingdom,2021,1530617,Finance,Finance: Consumer Services
BETRW,Better Home & Finance Holding Company Warrant,United Kingdom,2021,200,Finance,Finance: Consumer Services
BF/A,Brown Forman Corporation,United States,,114746,,
BF/B,Brown Forman Corporation,United States,,2703626,,
BFAC,Battery Future Acquisition Corp. Class A Ordinary Shares,,2022,177,Finance,Blank Checks
BFAM,Bright Horizons Family Solutions Inc. Common Stock,United States,2013,244856,Consumer Discretionary,Other Consumer Services
BFC,Bank First Corporation Common Stock,United States,,17376,Finance,Major Banks
BFH,Bread Financial Holdings Inc. Common Stock,United States,,353442,Consumer Discretionary,Business Services
BFI,BurgerFi International Inc. Common Stock ,Mexico,2018,198775,Consumer Discretionary,Restaurants
BFIIW,BurgerFi International Inc. Warrant ,Mexico,2018,7864,Consumer Discretionary,Restaurants
BFIN,BankFinancial Corporation Common Stock,United States,2005,18664,Finance,Savings Institutions
BFK,BlackRock Municipal Income Trust,United States,,119605,Finance,Finance Companies
BFLY,Butterfly Network Inc. Class A Common Stock,United States,2020,1097821,Health Care,Medical Electronics
BFRG,Bullfrog AI Holdings Inc. Common Stock,United States,2023,140459,Health Care,Biotechnology: Pharmaceutical Preparations
BFRGW,Bullfrog AI Holdings Inc. Warrants,United States,2023,4763,Health Care,Biotechnology: Pharmaceutical Preparations
BFRI,Biofrontera Inc. Common Stock,United States,2021,33903,Health Care,Biotechnology: Pharmaceutical Preparations
BFRIW,Biofrontera Inc. Warrants,United States,2021,5111,Health Care,Biotechnology: Pharmaceutical Preparations
BFS,Saul Centers Inc. Common Stock,United States,1993,60545,Real Estate,Real Estate Investment Trusts
BFS^D,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock,United States,,5678,,
BFS^E,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock,United States,,12829,,
BFST,Business First Bancshares Inc. Common Stock,United States,,35633,Finance,Major Banks
BFZ,BlackRock California Municipal Income Trust,United States,2001,117184,Finance,Finance Companies
BG,Bunge Limited Common Shares,United States,,1695088,Consumer Staples,Packaged Foods
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,United States,2012,125482,Finance,Trusts Except Educational Religious and Charitable
BGC,BGC Group Inc. Class A Common Stock,United States,,4610770,Finance,Investment Bankers/Brokers/Service
BGFV,Big 5 Sporting Goods Corporation Common Stock,United States,2002,266563,Consumer Discretionary,Other Specialty Stores
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,United States,2012,29650,Finance,Investment Managers
BGI,Birks Group Inc. Common Stock,Canada,,4674,Consumer Discretionary,Consumer Specialties
BGLC,BioNexus Gene Lab Corp Common stock,Malaysia,,30826,Health Care,Medical Specialities
BGNE,BeiGene Ltd. American Depositary Shares,Cayman Islands,2016,119851,Health Care,Biotechnology: Pharmaceutical Preparations
BGR,BlackRock Energy and Resources Trust,United States,2004,82876,Finance,Trusts Except Educational Religious and Charitable
BGS,B&G Foods Inc. Common Stock,United States,,708890,Consumer Staples,Packaged Foods
BGSF,BGSF Inc. Common Stock,United States,,69341,Consumer Discretionary,Professional Services
BGT,BlackRock Floating Rate Income Trust,United States,2004,150255,Finance,Trusts Except Educational Religious and Charitable
BGX,Blackstone Long Short Credit Income Fund Common Shares,,2011,40868,Finance,Trusts Except Educational Religious and Charitable
BGXX,Bright Green Corporation Common Stock,United States,,449855,Health Care, Medicinal Chemicals and Botanical Products 
BGY,Blackrock Enhanced International Dividend Trust,United States,2007,188013,Finance,Trusts Except Educational Religious and Charitable
BH,Biglari Holdings Inc. Class B Common Stock,United States,2018,2179,Consumer Discretionary,Restaurants
BHAC,Focus Impact BH3 Acquisition Company Class A Common Stock,United States,2021,1794,Finance,Blank Checks
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,China,2019,47976,Consumer Discretionary,Recreational Games/Products/Toys
BHB,Bar Harbor Bankshares Inc. Common Stock,United States,1997,37544,Finance,Major Banks
BHC,Bausch Health Companies Inc. Common Stock,Canada,,2590364,Health Care,Biotechnology: Pharmaceutical Preparations
BHE,Benchmark Electronics Inc. Common Stock,United States,,360032,Technology,Electrical Products
BHF,Brighthouse Financial Inc. Common Stock,United States,,415077,Finance,Life Insurance
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058,United States,,12608,Finance,Life Insurance
BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D,United States,,15414,Finance,Life Insurance
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,United States,,23675,Finance,Life Insurance
BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B,United States,,16503,Finance,Life Insurance
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A,United States,,28809,Finance,Life Insurance
BHIL,Benson Hill Inc. Common Stock,United States,2021,1440271,Consumer Staples,Packaged Foods
BHK,Blackrock Core Bond Trust,United States,2001,107571,Finance,Finance Companies
BHLB,Berkshire Hills Bancorp Inc. Common Stock,United States,,324084,Finance,Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,,2022,3299,Real Estate,Real Estate Investment Trusts
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,,2119142,Energy,Coal Mining
BHR,Braemar Hotels & Resorts Inc. Common Stock,United States,2013,169197,Real Estate,Real Estate Investment Trusts
BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,United States,,6440,,
BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share,United States,,1179,,
BHRB,Burke & Herbert Financial Services Corp. Common Stock,United States,,53663,Finance,Major Banks
BHV,BlackRock Virginia Municipal Bond Trust,United States,2002,203,Finance,Finance/Investors Services
BHVN,Biohaven Ltd. Common Shares ,United States,2022,2027687,Health Care,Biotechnology: Pharmaceutical Preparations
BIAF,bioAffinity Technologies Inc. Common Stock,United States,2022,75095,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIAFW,bioAffinity Technologies Inc. Warrant,United States,2022,9930,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIDU,Baidu Inc. ADS,China,2005,3054276,Technology,Computer Software: Programming Data Processing
BIG,Big Lots Inc. Common Stock,United States,,1062297,Consumer Discretionary,Department/Specialty Retail Stores
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,United States,2020,1705303,Technology,Computer Software: Prepackaged Software
BIGZ,BlackRock Innovation and Growth Term Trust Common Shares of Beneficial Interest,,2021,731588,,
BIIB,Biogen Inc. Common Stock,United States,,633178,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BILI,Bilibili Inc. American Depositary Shares,China,2018,4843722,Technology,EDP Services
BILL,BILL Holdings Inc. Common Stock,United States,2019,1187278,Technology,EDP Services
BIMI,BIMI International Medical Inc. Common Stock,China,,24547,Health Care,Other Pharmaceuticals
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,United States,1980,283707,Industrials,Biotechnology: Laboratory Analytical Instruments
BIO/B,Bio-Rad Laboratories Inc.,United States,,7,,
BIOL,Biolase Inc. Common Stock,United States,,1171145,Health Care,Medical/Dental Instruments
BIOR,Biora Therapeutics Inc. Common Stock,United States,2020,215700,Health Care,Biotechnology: Pharmaceutical Preparations
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,Argentina,,28759,Industrials,Agricultural Chemicals
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Bermuda,,509236,Utilities,Power Generation
BIP^A,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13,Bermuda,,5519,,
BIP^B,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14,Bermuda,,27021,,
BIPC,Brookfield Infrastructure Corporation ,Canada,2020,366805,Consumer Discretionary,Marine Transportation
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,Canada,2021,10733,,
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,Bermuda,2022,26705,Consumer Discretionary,Marine Transportation
BIRD,Allbirds Inc. Class A Common Stock,United States,2021,698933,Consumer Discretionary,Apparel
BIRK,Birkenstock Holding plc Ordinary Shares,,2023,797416,Consumer Discretionary,Shoe Manufacturing
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,,2013,72496,Finance,Trusts Except Educational Religious and Charitable
BITE,Bite Acquisition Corp. Common Stock,,2021,4955,Finance,Blank Checks
BITF,Bitfarms Ltd. Common Stock,Canada,,36296339,Finance,Finance: Consumer Services
BIVI,BioVie Inc. Class A Common Stock,United States,,787283,Health Care,Biotechnology: Pharmaceutical Preparations
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,United States,2018,2123852,Consumer Discretionary,Department/Specialty Retail Stores
BJDX,Bluejay Diagnostics Inc. Common Stock,United States,2021,14993,Health Care,Medical/Dental Instruments
BJRI,BJ's Restaurants Inc. Common Stock,United States,,461631,Consumer Discretionary,Restaurants
BK,The Bank of New York Mellon Corporation Common Stock,United States,,2402310,Finance,Major Banks
BKD,Brookdale Senior Living Inc. Common Stock,United States,2005,1579626,Health Care,Hospital/Nursing Management
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,United States,2022,2,Health Care,Hospital/Nursing Management
BKE,Buckle Inc. (The) Common Stock,United States,,482695,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKH,Black Hills Corporation Common Stock,United States,,447489,Utilities,Electric Utilities: Central
BKHA,Black Hawk Acquisition Corporation Class A Ordinary Shares,United States,2024,8777,,
BKHAR,Black Hawk Acquisition Corporation Rights,United States,2024,46123,,
BKHAU,Black Hawk Acquisition Corporation Units,United States,2024,1109,,
BKKT,Bakkt Holdings Inc. Class A Common Stock,United States,,248047,Finance,Finance: Consumer Services
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),United States,1993,104595,Finance,Trusts Except Educational Religious and Charitable
BKNG,Booking Holdings Inc. Common Stock,United States,,170668,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,United States,,4978074,Industrials,Metal Fabrications
BKSY,BlackSky Technology Inc. Class A Common Stock,United States,2019,465276,Technology,Radio And Television Broadcasting And Communications Equipment
BKT,BlackRock Income Trust Inc. (The),United States,,48127,Finance,Investment Bankers/Brokers/Service
BKTI,BK Technologies Corporation Common Stock,United States,,23643,Technology,Radio And Television Broadcasting And Communications Equipment
BKU,BankUnited Inc. Common Stock,United States,2011,491737,Finance,Savings Institutions
BKYI,BIO-key International Inc. Common Stock,United States,,21599,Technology,Computer Software: Prepackaged Software
BL,BlackLine Inc. Common Stock,United States,2016,1699483,Technology,Computer Software: Prepackaged Software
BLAC,Bellevue Life Sciences Acquisition Corp. Common Stock,United States,2023,14,Finance,Blank Checks
BLACR,Bellevue Life Sciences Acquisition Corp. Rights,United States,2023,11300,Finance,Blank Checks
BLBD,Blue Bird Corporation Common Stock,United States,2014,427500,Consumer Discretionary,Construction/Ag Equipment/Trucks
BLBX,Blackboxstocks Inc. Common Stock,United States,,1502,Technology,EDP Services
BLCO,Bausch + Lomb Corporation Common Shares,,2022,306690,,
BLD,TopBuild Corp. Common Stock,United States,2015,236610,Consumer Discretionary,Engineering & Construction
BLDE,Blade Air Mobility Inc. Class A Common Stock,United States,2019,474771,Consumer Discretionary,Transportation Services
BLDEW,Blade Air Mobility Inc. Warrants,United States,2019,2275,Consumer Discretionary,Transportation Services
BLDP,Ballard Power Systems Inc. Common Shares,Canada,,1966342,Energy,Industrial Machinery/Components
BLDR,Builders FirstSource Inc. Common Stock,United States,2005,2095128,Consumer Discretionary,RETAIL: Building Materials
BLE,BlackRock Municipal Income Trust II,United States,2002,107318,Finance,Finance/Investors Services
BLEU,bleuacacia ltd Class A Ordinary Shares,United States,2022,306,Finance,Blank Checks
BLEUR,bleuacacia ltd Rights,United States,2022,1025,Finance,Blank Checks
BLFS,BioLife Solutions Inc. Common Stock,United States,,475565,Health Care,Medical/Dental Instruments
BLFY,Blue Foundry Bancorp Common Stock,United States,2021,35708,Finance,Banks
BLIN,Bridgeline Digital Inc. Common Stock,United States,2007,7126,Technology,Computer Software: Prepackaged Software
BLK,BlackRock Inc. Common Stock,United States,1999,636215,Finance,Investment Bankers/Brokers/Service
BLKB,Blackbaud Inc. Common Stock,United States,2004,262999,Technology,Computer Software: Prepackaged Software
BLMN,Bloomin' Brands Inc. Common Stock,United States,2012,1752462,Consumer Discretionary,Restaurants
BLND,Blend Labs Inc. Class A Common Stock,United States,2021,1593558,Technology,Computer Software: Programming Data Processing
BLNK,Blink Charging Co. Common Stock,United States,,3649479,Consumer Discretionary,Industrial Specialties
BLRX,BioLineRx Ltd. American Depositary Shares,Israel,,1340551,Health Care,Biotechnology: Pharmaceutical Preparations
BLTE,Belite Bio Inc American Depositary Shares,United States,2022,102986,Health Care,Biotechnology: Pharmaceutical Preparations
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,,2021,62,Finance,Blank Checks
BLUE,bluebird bio Inc. Common Stock,United States,2013,4786745,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BLW,Blackrock Limited Duration Income Trust,United States,2003,70380,Consumer Discretionary,Other Consumer Services
BLX,Banco Latinoamericano de Comercio Exterior S.A.,Panama,1992,170985,Finance,Commercial Banks
BLZE,Backblaze Inc. Class A Common Stock,United States,2021,300644,Technology,Computer Software: Prepackaged Software
